gene	mean	var
55349	0.0	1
55343	0.0	1
84912	0.782643455555	1
23443	0.41976150766	1
55293	0.0	1
51268	0.0	1
343	0.0	1
3992	1.76710896142	1
3990	0.0	1
55902	0.0	1
55907	0.0677433083762	1
10965	0.0	1
4731	0.197974418122	1
81539	1.2736958891	1
81537	0.257731945755	1
154091	0.0	1
55586	0.0	1
292	3.06002215126	1
51604	0.511487720111	1
290	0.0	1
51606	0.570656128474	1
586	2.34839727172	1
4832	0.0	1
587	0.501642449704	1
56052	0.0	1
4522	1.7118389012	1
270	0.0	1
271	0.126008376997	1
275	0.0	1
80201	0.0	1
108	0.0	1
109	0.0	1
56901	0.0	1
100	3.24063204835	1
107	0.0	1
9435	0.0799607191655	1
79813	0.475128106424	1
84129	0.0	1
79814	0.0	1
9415	0.488690885685	1
10632	2.99099637367	1
53354	0.34612033176	1
10380	0.0	1
8942	0.0	1
7264	0.605446310453	1
84693	0.0	1
7263	0.0	1
5296	0.577254576961	1
2686	0.0	1
2687	0.0	1
5294	0.617557584012	1
2683	0.0553732210148	1
10164	0.0	1
2739	1.8970993905	1
98	0.216573199279	1
10560	0.0	1
10568	0.0	1
95	0.0485111549895	1
97	0.991711658938	1
1622	2.40987823614	1
1621	0.0	1
10090	0.0	1
5184	0.0299944475317	1
1629	1.31740960709	1
8836	0.571477252446	1
8833	1.13291566062	1
3340	0.0	1
5051	0.0	1
1757	0.0	1
4259	0.840530343528	1
4258	0.0	1
23057	0.0	1
4257	0.0	1
1178	0.0	1
29925	0.284973052916	1
11164	1.40324259958	1
50700	0.0	1
1579	0.0	1
8760	0.74001675392	1
1573	0.0	1
1572	0.0	1
79717	0.179620424204	1
516	1.0148253104	1
1577	0.0	1
1576	0.0	1
51477	0.0	1
51478	1.04654699399	1
8540	0.662288905311	1
6572	0.0	1
6573	0.378460487289	1
6570	0.0	1
6571	0.0	1
6576	0.507642031501	1
6574	1.20585908395	1
6575	0.0	1
6578	0.0	1
6579	0.0	1
1371	0.230405740838	1
8509	0.0945535933071	1
1373	0.0	1
1374	0.121417060024	1
1376	0.0	1
28965	0.0	1
2744	0.84006687078	1
23475	0.596977337589	1
2747	0.352619525824	1
2746	1.03705219911	1
23478	2.41201944545	1
4846	0.0	1
253430	0.0	1
196743	0.0	1
4842	0.0	1
4843	0.0	1
55753	0.0	1
51292	0.729051568762	1
65263	0.0	1
128869	0.38294493075	1
6783	0.0	1
4729	1.14397135392	1
4728	2.32372535933	1
4724	0.78676220992	1
4726	2.12811857099	1
4720	0.79160728725	1
4723	1.43214794917	1
4722	1.3549466376	1
64849	0.0	1
64841	0.663148843382	1
11282	0.15381593094	1
11285	0.0	1
247	0.0	1
117247	0.138686601401	1
240	0.0	1
242	0.0	1
117248	0.0	1
248	0.0	1
81616	0.0	1
2271	1.20443571429	1
293	2.92250796403	1
64600	0.0	1
51102	0.112517269854	1
291	0.385065968562	1
51109	1.11925565851	1
9536	0.0	1
125061	0.0	1
9245	0.0	1
122970	0.0	1
56913	0.0	1
178	0.735207161599	1
175	0.432593489322	1
2053	0.0	1
2052	0.0	1
4538	4.21375734462	1
30061	0.36166622265	1
4535	nan	1
4536	3.8492991908	1
26035	0.0	1
10400	0.11370538347	1
9334	0.349407360356	1
10402	0.0	1
9331	0.09755839765	1
53343	0.428080738658	1
10390	0.494091109141	1
10396	0.0	1
54965	0.952930436809	1
54963	0.609819085576	1
2694	0.0	1
54981	0.0	1
84649	0.0	1
6817	0.0	1
5198	0.529643790203	1
10087	0.203190462022	1
1962	0.0	1
115019	0.0	1
2877	0.0	1
2875	0.0	1
54187	0.685056365516	1
2878	0.0	1
54344	0.268371534234	1
11238	0.0	1
79017	1.60166715833	1
23517	0.682497111357	1
1544	0.0	1
1545	0.0	1
1543	0.0	1
11112	0.0796319696472	1
1549	0.0	1
8714	0.0	1
83733	0.0	1
549	0.204664179437	1
8029	0.0	1
51447	1.27537778771	1
765	0.0	1
8534	0.0	1
6568	0.0	1
6565	0.0	1
6564	0.0	1
6567	0.0	1
6566	1.21264071323	1
6561	0.0	1
